key,lig,model,E,rmsd_lb,rmsd_ub,pvr_effic,pvr_n_contacts,torsdof,adph_fraction,adph_atoms_fraction,fdla_fraction,fdla_atoms_fraction
h11_ga10_m9,ga10,9,-5.1,13.442,16.553,-0.2217,9,15,0.043478260869565216,0.011494252873563218,0.3,0.07575757575757576
h11_ga10_m8,ga10,8,-5.1,2.045,3.568,-0.2217,15,15,0.34782608695652173,0.09195402298850575,0.0,0.0
h11_ga10_m1,ga10,1,-5.7,0.0,0.0,-0.2478,13,15,0.30434782608695654,0.10344827586206896,0.0,0.0
h11_ga10_m3,ga10,3,-5.3,11.287,15.469,-0.2304,9,15,0.043478260869565216,0.034482758620689655,0.2,0.06060606060606061
h11_ga10_m2,ga10,2,-5.4,4.927,7.314,-0.2348,11,15,0.2608695652173913,0.022988505747126436,0.05,0.0
h11_ga10_m5,ga10,5,-5.2,15.8,19.252,-0.2261,13,15,0.0,0.0,0.4,0.15151515151515152
h11_ga10_m4,ga10,4,-5.2,1.52,3.577,-0.2261,17,15,0.43478260869565216,0.12643678160919541,0.05,0.015151515151515152
h11_ga10_m7,ga10,7,-5.2,22.704,24.176,-0.2261,12,15,0.0,0.0,0.0,0.0
h11_ga10_m6,ga10,6,-5.2,16.157,19.193,-0.2261,15,15,0.0,0.0,0.35,0.13636363636363635
h11_gb7_m5,gb7,5,-5.5,6.322,8.195,-0.275,11,12,0.2608695652173913,0.10344827586206896,0.0,0.0
h11_gb7_m4,gb7,4,-5.5,3.796,8.311,-0.275,14,12,0.30434782608695654,0.09195402298850575,0.1,0.015151515151515152
h11_gb7_m7,gb7,7,-5.4,7.413,11.305,-0.27,10,12,0.043478260869565216,0.011494252873563218,0.25,0.09090909090909091
h11_gb7_m6,gb7,6,-5.4,5.566,6.844,-0.27,12,12,0.34782608695652173,0.08045977011494253,0.0,0.0
h11_gb7_m1,gb7,1,-5.7,0.0,0.0,-0.285,11,12,0.2608695652173913,0.08045977011494253,0.05,0.0
h11_gb_m9,gb,9,-4.7,0.917,2.861,-0.3917,13,6,0.2608695652173913,0.09195402298850575,0.1,0.030303030303030304
h11_gb_m8,gb,8,-4.8,1.223,3.722,-0.4,7,6,0.21739130434782608,0.034482758620689655,0.0,0.0
h11_gb_m7,gb,7,-4.8,11.392,13.707,-0.4,9,6,0.17391304347826086,0.06896551724137931,0.0,0.0
h11_gb_m6,gb,6,-4.9,1.167,4.442,-0.4083,8,6,0.30434782608695654,0.04597701149425287,0.05,0.015151515151515152
h11_gb_m5,gb,5,-4.9,0.973,4.668,-0.4083,11,6,0.2608695652173913,0.06896551724137931,0.05,0.0
h11_gb_m4,gb,4,-4.9,1.461,3.982,-0.4083,10,6,0.21739130434782608,0.04597701149425287,0.0,0.0
h11_gb_m3,gb,3,-5.3,1.176,1.494,-0.4417,13,6,0.30434782608695654,0.10344827586206896,0.05,0.015151515151515152
h11_gb_m2,gb,2,-5.3,1.064,3.429,-0.4417,18,6,0.34782608695652173,0.10344827586206896,0.05,0.030303030303030304
h11_gb_m1,gb,1,-5.4,0.0,0.0,-0.45,9,6,0.30434782608695654,0.05747126436781609,0.05,0.0
h11_gb8_m8,gb8,8,-5.2,4.821,9.702,-0.2476,16,13,0.391304347826087,0.11494252873563218,0.1,0.030303030303030304
h11_gb8_m9,gb8,9,-5.2,3.295,5.598,-0.2476,17,13,0.30434782608695654,0.09195402298850575,0.05,0.015151515151515152
h11_gb8_m1,gb8,1,-5.6,0.0,0.0,-0.2667,13,13,0.34782608695652173,0.08045977011494253,0.05,0.0
h11_gb8_m2,gb8,2,-5.5,4.754,6.615,-0.2619,19,13,0.34782608695652173,0.12643678160919541,0.05,0.015151515151515152
h11_gb8_m3,gb8,3,-5.5,1.831,3.665,-0.2619,10,13,0.21739130434782608,0.06896551724137931,0.0,0.0
h11_gb8_m4,gb8,4,-5.5,2.459,3.857,-0.2619,12,13,0.34782608695652173,0.06896551724137931,0.0,0.0
